squawk,function
0000,SSR UNRELIABLE
0001,MONITORING Height
0002,INSPECTION Ground Transponder
0003,HEMS Surrey / Sussex
0004,NON-STANDARD Scotland
0005,NON-STANDARD Scotland
0006,POLICE Transport
0007,ATC CONSPICUITY Off-shore Safety Area
0010,CAS Birmingham
0011,CAS Glasgow
0012,ATC London
0013,ATC Luton
0014,HEMS Kent
0015,HEMS Essex
0016,HEMS Thames Valley
0017,HEMS London
0020,HEMS
0021,SERVICING SHIP Fixed-Wing
0022,SERVICING SHIP Helicopter
0023,SAR
0024,CALIBRATION Radar
0025,NON-STANDARD Scotland
0026,SPECIAL
0027,CAS London
0030,FIR LOST
0031,HEMS Hertfordshire
0032,POLICE
0033,RAF Paradropping
0034,TOWING Target/Glider
0035,SELECTED
0036,INSPECTION Pipeline/Powerline
0037,ROYAL
0040,ATC North Sea
0041,POLICE
0042,POLICE
0043,POLICE
0044,POLICE
0045,POLICE
0046,POLICE
0047,POLICE
0048,POLICE
0049,POLICE
0050,POLICE
0051,POLICE
0052,POLICE
0053,POLICE
0054,POLICE
0055,POLICE
0056,POLICE
0057,POLICE
0058,POLICE
0059,POLICE
0060,POLICE
0061,POLICE
0062,RAF 1 ACC
0063,RAF 1 ACC
0064,RAF 1 ACC
0065,RAF 1 ACC
0066,RAF 1 ACC
0067,RAF 1 ACC
0068,RAF 1 ACC
0069,RAF 1 ACC
0070,RAF 1 ACC
0071,RAF 1 ACC
0072,RAF 1 ACC
0073,RAF 1 ACC
0074,RAF 1 ACC
0075,RAF 1 ACC
0076,RAF 1 ACC
0077,RAF 1 ACC
0100,RAF Air Command HQ
0101,ORIGIN Brussels
0102,ORIGIN Brussels
0103,ORIGIN Brussels
0104,ORIGIN Brussels
0105,ORIGIN Brussels
0106,ORIGIN Brussels
0107,ORIGIN Brussels
0108,ORIGIN Brussels
0109,ORIGIN Brussels
0110,ORIGIN Brussels
0111,ORIGIN Brussels
0112,ORIGIN Brussels
0113,ORIGIN Brussels
0114,ORIGIN Brussels
0115,ORIGIN Brussels
0116,ORIGIN Brussels
0117,ORIGIN Brussels
0120,ORIGIN Germany
0121,ORIGIN Germany
0122,ORIGIN Germany
0123,ORIGIN Germany
0124,ORIGIN Germany
0125,ORIGIN Germany
0126,ORIGIN Germany
0127,ORIGIN Germany
0128,ORIGIN Germany
0129,ORIGIN Germany
0130,ORIGIN Germany
0131,ORIGIN Germany
0132,ORIGIN Germany
0133,ORIGIN Germany
0134,ORIGIN Germany
0135,ORIGIN Germany
0136,ORIGIN Germany
0137,ORIGIN Germany
0140,ORIGIN Amsterdam
0141,ORIGIN Amsterdam
0142,ORIGIN Amsterdam
0143,ORIGIN Amsterdam
0144,ORIGIN Amsterdam
0145,ORIGIN Amsterdam
0146,ORIGIN Amsterdam
0147,ORIGIN Amsterdam
0148,ORIGIN Amsterdam
0149,ORIGIN Amsterdam
0150,ORIGIN Amsterdam
0151,ORIGIN Amsterdam
0152,ORIGIN Amsterdam
0153,ORIGIN Amsterdam
0154,ORIGIN Amsterdam
0155,ORIGIN Amsterdam
0156,ORIGIN Amsterdam
0157,ORIGIN Amsterdam
0158,ORIGIN Amsterdam
0159,ORIGIN Amsterdam
0160,ORIGIN Amsterdam
0161,ORIGIN Amsterdam
0162,ORIGIN Amsterdam
0163,ORIGIN Amsterdam
0164,ORIGIN Amsterdam
0165,ORIGIN Amsterdam
0166,ORIGIN Amsterdam
0167,ORIGIN Amsterdam
0168,ORIGIN Amsterdam
0169,ORIGIN Amsterdam
0170,ORIGIN Amsterdam
0171,ORIGIN Amsterdam
0172,ORIGIN Amsterdam
0173,ORIGIN Amsterdam
0174,ORIGIN Amsterdam
0175,ORIGIN Amsterdam
0176,ORIGIN Amsterdam
0177,ORIGIN Amsterdam
0200,RAF Air Command HQ
0300,RAF Air Command HQ
0400,RAF Air Command HQ
0401,RAF CONSPICUITY Leeming
0401,ATC Birmingham
